	language	tweet_id
0	ar	483762194908479488
1	ar	483762916097654784
2	ar	483764454283558912
3	ar	483764828784582656
4	ar	483765526683209728
5	ar	483768342315282432
6	ar	483770689933946880
7	ar	483770765985083392
8	ar	483770900127285248
9	ar	483770997892345857
10	ar	483773690769702912
11	ar	483773756897124352
12	ar	483774772115820544
13	ar	483777578163908609
14	ar	483780914452111360
15	ar	483781125006163968
16	ar	483782119827582977
17	ar	483782693868433408
18	ar	483783499174772736
19	ar	483783505445265409
20	ar	483790646176935936
21	ar	483791286831300608
22	ar	483793769079123971
23	ar	483796613656109056
24	ar	483796979063848960
25	ar	483798014239072256
26	ar	483799673044344832
27	ar	483802793459736576
28	ar	483805955852107776
29	ar	483807295134900224
30	ar	483811483906625536
31	ar	483818326599426048
32	ar	483819942878650369
33	ar	483824293952749568
34	ar	483831683653697537
35	ar	483848516356562945
36	ar	483849141622431744
37	ar	483850786208612352
38	ar	483856041869058048
39	ar	483859539356569601
40	ar	483863369972473856
41	ar	483866174556352512
42	ar	483867156115750912
43	ar	483868023648841728
44	ar	483871567311413248
45	ar	483873243598565376
46	ar	483885347374243841
47	ar	483895532319170560
48	ar	483898957156737025
49	ar	483908089649700864
50	ar	483909498398994434
51	ar	483910147472109568
52	ar	483911764674105344
53	ar	483913773892124673
54	ar	483918976129302528
55	ar	483920320231796736
56	ar	483920579263995904
57	ar	483922806476771328
58	ar	483931429902884864
59	ar	483934868070350849
60	ar	483937031353950208
61	ar	483938071646584834
62	ar	483942359281836032
63	ar	483947947738939393
64	ar	483950262554337280
65	ar	483951704358912001
66	ar	483954767727980544
67	ar	483955216807501826
68	ar	483962726142574594
69	ar	483964477075775488
70	ar	483964882157838336
71	ar	483965496187174912
72	ar	483969204060573697
73	ar	483970497864925184
74	ar	483972387722235904
75	ar	483973332300070913
76	ar	483975567989956608
77	ar	483977295573430272
78	ar	483978748274827264
79	ar	483979739049103360
80	ar	483981124834586626
81	ar	483986544865210368
82	ar	483987497635311616
83	ar	483987836979654656
84	ar	483988371375525888
85	ar	483988617790898176
86	ar	483993599449657345
87	ar	483995580587196416
88	ar	483995770194903041
89	ar	483999855455391745
90	ar	484002112263979008
91	ar	484004499489423360
92	ar	484013256080515073
93	ar	484020979010510849
94	ar	484023414781263872
95	ar	484025449207451648
96	ar	484025624076374016
97	ar	484026168300273664
98	ar	484027052664709120
99	ar	484028590409797632
100	ar	484030004641021952
101	ar	484030051223359488
102	ar	484035054243291136
103	ar	484037229086400513
104	ar	484037984883191808
105	ar	484038240152727552
106	ar	484038487784439808
107	ar	484045171659505665
108	ar	484046644619386880
109	ar	484049088627765248
110	ar	484054661402333184
111	ar	484054802390061058
112	ar	484055076584321024
113	ar	484056514789769216
114	ar	484065001510932480
115	ar	484066528581931008
116	ar	484066848754114560
117	ar	484067135946493952
